gene_id	length	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30
EMGC_1-1_GL0000006	570	7	3			6	2			4	7		7		5	18		19	3	9	8		16		5						
EMGC_1-1_GL0000007	708	4	2			2	2			6	5	4	5	3	7	23		23	4	18	7		30	10	3						
EMGC_1-1_GL0000025	681	4			2				4	2	2	2	2	4	16	8		15		32	9	4	15		2						
EMGC_1-1_GL0000028	981	6	4	2			2	2	2				2		22	16		9	4	35	13	6	31		2						
EMGC_1-1_GL0000035	1275	12	4		4		12	7	2	2	13		6					11		22	2				3						
EMGC_1-1_GL0000037	1131	8	6		2		2	17		8	10	4	13					8	2	6			9		8						
EMGC_1-1_GL0000077	576	19	10		3	52	6	41	6	31	8	13	54	15	75	14		6	21	21	63	6	6		8						
EMGC_1-1_GL0000087	975				4			2					2																		
EMGC_1-1_GL0000105	1425	19	8	6	4		2	18	4	2	18	8	10					33	6	9		2	4		9						
EMGC_1-1_GL0000111	3444	52	9	6	8		6	36	14	27	35		37		2			51	2	25	4	4	10	10	11						
EMGC_1-1_GL0000114	996	2																													
